ANO_ELEICAO,NM_MUNICIPIO,SG_PARTIDO,NM_VOTAVEL,NM_PARTIDO,QT_VOTOS
2018,ACARAÚ,PSOL,GUILHERME BOULOS,Partido Socialismo e Liberdade,55
2018,ACARAÚ,PSTU,VERA,Partido Socialista dos Trabalhadores Unificado,4
2018,ACARAÚ,PATRI,CABO DACIOLO,Patriota,290
2018,ACARAÚ,PODE,ALVARO DIAS,Podemos,33
2018,ACARAÚ,REDE,MARINA SILVA,Rede Sustentabilidade,76
2018,ACOPIARA,#NULO#,Branco,#NULO#,766
2018,ACOPIARA,#NULO#,Nulo,#NULO#,1454
2018,ACOPIARA,DC,EYMAEL,Democracia Cristã,9
2018,ACOPIARA,MDB,HENRIQUE MEIRELLES,Movimento Democrático Brasileiro,208
2018,ACOPIARA,PSDB,GERALDO ALCKMIN,Partido da Social Democracia Brasileira,242
2018,ACOPIARA,PDT,CIRO GOMES,Partido Democrático Trabalhista,9816
2018,ACOPIARA,PT,FERNANDO HADDAD,Partido dos Trabalhadores,14302
2018,ACOPIARA,NOVO,JOÃO AMOÊDO,Partido Novo,33
2018,ACOPIARA,PPL,JOÃO GOULART FILHO,Partido Pátria Livre,1
2018,ACOPIARA,PSL,JAIR BOLSONARO,Partido Social Liberal,2153
2018,ACOPIARA,PSOL,GUILHERME BOULOS,Partido Socialismo e Liberdade,45
2018,ACOPIARA,PSTU,VERA,Partido Socialista dos Trabalhadores Unificado,4
2018,ACOPIARA,PATRI,CABO DACIOLO,Patriota,81
2018,ACOPIARA,PODE,ALVARO DIAS,Podemos,24
2018,ACOPIARA,REDE,MARINA SILVA,Rede Sustentabilidade,44
2018,AIUABA,#NULO#,Branco,#NULO#,95
2018,AIUABA,#NULO#,Nulo,#NULO#,441
2018,AIUABA,MDB,HENRIQUE MEIRELLES,Movimento Democrático Brasileiro,52
2018,AIUABA,PSDB,GERALDO ALCKMIN,Partido da Social Democracia Brasileira,36
2018,AIUABA,PDT,CIRO GOMES,Partido Democrático Trabalhista,2886
2018,AIUABA,PT,FERNANDO HADDAD,Partido dos Trabalhadores,4228
2018,AIUABA,NOVO,JOÃO AMOÊDO,Partido Novo,5
2018,AIUABA,PSL,JAIR BOLSONARO,Partido Social Liberal,395
2018,AIUABA,PSOL,GUILHERME BOULOS,Partido Socialismo e Liberdade,12
2018,AIUABA,PSTU,VERA,Partido Socialista dos Trabalhadores Unificado,1
2018,AIUABA,PATRI,CABO DACIOLO,Patriota,17
2018,AIUABA,PODE,ALVARO DIAS,Podemos,3
2018,AIUABA,REDE,MARINA SILVA,Rede Sustentabilidade,9
2018,ALCÂNTARAS,#NULO#,Branco,#NULO#,175
2018,ALCÂNTARAS,#NULO#,Nulo,#NULO#,263
2018,ALCÂNTARAS,DC,EYMAEL,Democracia Cristã,1
2018,ALCÂNTARAS,MDB,HENRIQUE MEIRELLES,Movimento Democrático Brasileiro,48
2018,ALCÂNTARAS,PSDB,GERALDO ALCKMIN,Partido da Social Democracia Brasileira,27
2018,ALCÂNTARAS,PDT,CIRO GOMES,Partido Democrático Trabalhista,4340
2018,ALCÂNTARAS,PT,FERNANDO HADDAD,Partido dos Trabalhadores,1669
2018,ALCÂNTARAS,NOVO,JOÃO AMOÊDO,Partido Novo,7
2018,ALCÂNTARAS,PSL,JAIR BOLSONARO,Partido Social Liberal,475
2018,ALCÂNTARAS,PSOL,GUILHERME BOULOS,Partido Socialismo e Liberdade,16
2018,ALCÂNTARAS,PATRI,CABO DACIOLO,Patriota,35
2018,ALCÂNTARAS,PODE,ALVARO DIAS,Podemos,7
2018,ALCÂNTARAS,REDE,MARINA SILVA,Rede Sustentabilidade,10
2018,ALTANEIRA,#NULO#,Branco,#NULO#,56
2018,ALTANEIRA,#NULO#,Nulo,#NULO#,195
2018,ALTANEIRA,MDB,HENRIQUE MEIRELLES,Movimento Democrático Brasileiro,34
2018,ALTANEIRA,PSDB,GERALDO ALCKMIN,Partido da Social Democracia Brasileira,25
2018,ALTANEIRA,PDT,CIRO GOMES,Partido Democrático Trabalhista,1468
2018,ALTANEIRA,PT,FERNANDO HADDAD,Partido dos Trabalhadores,2584
2018,ALTANEIRA,NOVO,JOÃO AMOÊDO,Partido Novo,6
2018,ALTANEIRA,PSL,JAIR BOLSONARO,Partido Social Liberal,267
2018,ALTANEIRA,PSOL,GUILHERME BOULOS,Partido Socialismo e Liberdade,8
2018,ALTANEIRA,PSTU,VERA,Partido Socialista dos Trabalhadores Unificado,1
2018,ALTANEIRA,PATRI,CABO DACIOLO,Patriota,9
2018,ALTANEIRA,PODE,ALVARO DIAS,Podemos,7
2018,ALTANEIRA,REDE,MARINA SILVA,Rede Sustentabilidade,4
2018,ALTO SANTO,#NULO#,Branco,#NULO#,149
2018,ALTO SANTO,#NULO#,Nulo,#NULO#,327
2018,ALTO SANTO,DC,EYMAEL,Democracia Cristã,3
2018,ALTO SANTO,MDB,HENRIQUE MEIRELLES,Movimento Democrático Brasileiro,42
2018,ALTO SANTO,PSDB,GERALDO ALCKMIN,Partido da Social Democracia Brasileira,49
2018,ALTO SANTO,PDT,CIRO GOMES,Partido Democrático Trabalhista,4150
2018,ALTO SANTO,PT,FERNANDO HADDAD,Partido dos Trabalhadores,3450
2018,ALTO SANTO,NOVO,JOÃO AMOÊDO,Partido Novo,15
2018,ALTO SANTO,PSL,JAIR BOLSONARO,Partido Social Liberal,893
2018,ALTO SANTO,PSOL,GUILHERME BOULOS,Partido Socialismo e Liberdade,7
2018,ALTO SANTO,PSTU,VERA,Partido Socialista dos Trabalhadores Unificado,1
2018,ALTO SANTO,PATRI,CABO DACIOLO,Patriota,75
2018,ALTO SANTO,PODE,ALVARO DIAS,Podemos,8
2018,ALTO SANTO,REDE,MARINA SILVA,Rede Sustentabilidade,4
2018,AMONTADA,#NULO#,Branco,#NULO#,389
2018,AMONTADA,#NULO#,Nulo,#NULO#,988
2018,AMONTADA,DC,EYMAEL,Democracia Cristã,1
2018,AMONTADA,MDB,HENRIQUE MEIRELLES,Movimento Democrático Brasileiro,104
2018,AMONTADA,PSDB,GERALDO ALCKMIN,Partido da Social Democracia Brasileira,204
2018,AMONTADA,PDT,CIRO GOMES,Partido Democrático Trabalhista,7224
2018,AMONTADA,PT,FERNANDO HADDAD,Partido dos Trabalhadores,12412
2018,AMONTADA,NOVO,JOÃO AMOÊDO,Partido Novo,29
2018,AMONTADA,PSL,JAIR BOLSONARO,Partido Social Liberal,2979
2018,AMONTADA,PSOL,GUILHERME BOULOS,Partido Socialismo e Liberdade,42
2018,AMONTADA,PSTU,VERA,Partido Socialista dos Trabalhadores Unificado,8
2018,AMONTADA,PATRI,CABO DACIOLO,Patriota,176
2018,AMONTADA,PODE,ALVARO DIAS,Podemos,14
2018,AMONTADA,REDE,MARINA SILVA,Rede Sustentabilidade,45
2018,ANTONINA DO NORTE,#NULO#,Branco,#NULO#,75
2018,ANTONINA DO NORTE,#NULO#,Nulo,#NULO#,210
2018,ANTONINA DO NORTE,MDB,HENRIQUE MEIRELLES,Movimento Democrático Brasileiro,36
2018,ANTONINA DO NORTE,PSDB,GERALDO ALCKMIN,Partido da Social Democracia Brasileira,55
2018,ANTONINA DO NORTE,PDT,CIRO GOMES,Partido Democrático Trabalhista,1663
2018,ANTONINA DO NORTE,PT,FERNANDO HADDAD,Partido dos Trabalhadores,2215
2018,ANTONINA DO NORTE,NOVO,JOÃO AMOÊDO,Partido Novo,6
2018,ANTONINA DO NORTE,PPL,JOÃO GOULART FILHO,Partido Pátria Livre,1
2018,ANTONINA DO NORTE,PSL,JAIR BOLSONARO,Partido Social Liberal,353
2018,ANTONINA DO NORTE,PSOL,GUILHERME BOULOS,Partido Socialismo e Liberdade,8
2018,ANTONINA DO NORTE,PATRI,CABO DACIOLO,Patriota,18
2018,ANTONINA DO NORTE,PODE,ALVARO DIAS,Podemos,2
2018,ANTONINA DO NORTE,REDE,MARINA SILVA,Rede Sustentabilidade,6
2018,APUIARÉS,#NULO#,Branco,#NULO#,143
2018,APUIARÉS,#NULO#,Nulo,#NULO#,378
2018,APUIARÉS,DC,EYMAEL,Democracia Cristã,1
2018,APUIARÉS,MDB,HENRIQUE MEIRELLES,Movimento Democrático Brasileiro,44
2018,APUIARÉS,PSDB,GERALDO ALCKMIN,Partido da Social Democracia Brasileira,66
2018,APUIARÉS,PDT,CIRO GOMES,Partido Democrático Trabalhista,3373
2018,APUIARÉS,PT,FERNANDO HADDAD,Partido dos Trabalhadores,4471
2018,APUIARÉS,NOVO,JOÃO AMOÊDO,Partido Novo,14
2018,APUIARÉS,PPL,JOÃO GOULART FILHO,Partido Pátria Livre,1
2018,APUIARÉS,PSL,JAIR BOLSONARO,Partido Social Liberal,1136
2018,APUIARÉS,PSOL,GUILHERME BOULOS,Partido Socialismo e Liberdade,19
2018,APUIARÉS,PSTU,VERA,Partido Socialista dos Trabalhadores Unificado,1
2018,APUIARÉS,PATRI,CABO DACIOLO,Patriota,61
2018,APUIARÉS,PODE,ALVARO DIAS,Podemos,15
2018,APUIARÉS,REDE,MARINA SILVA,Rede Sustentabilidade,16
2018,AQUIRAZ,#NULO#,Branco,#NULO#,1263
2018,AQUIRAZ,#NULO#,Nulo,#NULO#,2524
2018,AQUIRAZ,DC,EYMAEL,Democracia Cristã,6
2018,AQUIRAZ,MDB,HENRIQUE MEIRELLES,Movimento Democrático Brasileiro,303
2018,AQUIRAZ,PSDB,GERALDO ALCKMIN,Partido da Social Democracia Brasileira,583
2018,AQUIRAZ,PDT,CIRO GOMES,Partido Democrático Trabalhista,16088
2018,AQUIRAZ,PT,FERNANDO HADDAD,Partido dos Trabalhadores,14668
2018,AQUIRAZ,NOVO,JOÃO AMOÊDO,Partido Novo,135
2018,AQUIRAZ,PPL,JOÃO GOULART FILHO,Partido Pátria Livre,5
2018,AQUIRAZ,PSL,JAIR BOLSONARO,Partido Social Liberal,10149
2018,AQUIRAZ,PSOL,GUILHERME BOULOS,Partido Socialismo e Liberdade,87
2018,AQUIRAZ,PSTU,VERA,Partido Socialista dos Trabalhadores Unificado,16
2018,AQUIRAZ,PATRI,CABO DACIOLO,Patriota,684
2018,AQUIRAZ,PODE,ALVARO DIAS,Podemos,137
2018,AQUIRAZ,REDE,MARINA SILVA,Rede Sustentabilidade,167
2018,ARACATI,#NULO#,Branco,#NULO#,1245
2018,ARACATI,#NULO#,Nulo,#NULO#,1916
2018,ARACATI,DC,EYMAEL,Democracia Cristã,7
2018,ARACATI,MDB,HENRIQUE MEIRELLES,Movimento Democrático Brasileiro,180
2018,ARACATI,PSDB,GERALDO ALCKMIN,Partido da Social Democracia Brasileira,349
2018,ARACATI,PDT,CIRO GOMES,Partido Democrático Trabalhista,16026
2018,ARACATI,PT,FERNANDO HADDAD,Partido dos Trabalhadores,14318
2018,ARACATI,NOVO,JOÃO AMOÊDO,Partido Novo,114
2018,ARACATI,PPL,JOÃO GOULART FILHO,Partido Pátria Livre,3
2018,ARACATI,PSL,JAIR BOLSONARO,Partido Social Liberal,9308
2018,ARACATI,PSOL,GUILHERME BOULOS,Partido Socialismo e Liberdade,56
2018,ARACATI,PSTU,VERA,Partido Socialista dos Trabalhadores Unificado,10
2018,ARACATI,PATRI,CABO DACIOLO,Patriota,497
2018,ARACATI,PODE,ALVARO DIAS,Podemos,43
2018,ARACATI,REDE,MARINA SILVA,Rede Sustentabilidade,152
2018,ARACOIABA,#NULO#,Branco,#NULO#,326
2018,ARACOIABA,#NULO#,Nulo,#NULO#,580
2018,ARACOIABA,DC,EYMAEL,Democracia Cristã,3
2018,ARACOIABA,MDB,HENRIQUE MEIRELLES,Movimento Democrático Brasileiro,85
2018,ARACOIABA,PSDB,GERALDO ALCKMIN,Partido da Social Democracia Brasileira,236
2018,ARACOIABA,PDT,CIRO GOMES,Partido Democrático Trabalhista,6965
2018,ARACOIABA,PT,FERNANDO HADDAD,Partido dos Trabalhadores,8759
2018,ARACOIABA,NOVO,JOÃO AMOÊDO,Partido Novo,24
2018,ARACOIABA,PPL,JOÃO GOULART FILHO,Partido Pátria Livre,4
2018,ARACOIABA,PSL,JAIR BOLSONARO,Partido Social Liberal,2707
2018,ARACOIABA,PSOL,GUILHERME BOULOS,Partido Socialismo e Liberdade,31
2018,ARACOIABA,PSTU,VERA,Partido Socialista dos Trabalhadores Unificado,2
2018,ARACOIABA,PATRI,CABO DACIOLO,Patriota,168
2018,ARACOIABA,PODE,ALVARO DIAS,Podemos,15
2018,ARACOIABA,REDE,MARINA SILVA,Rede Sustentabilidade,33
2018,ARARENDÁ,#NULO#,Branco,#NULO#,125
2018,ARARENDÁ,#NULO#,Nulo,#NULO#,231
2018,ARARENDÁ,DC,EYMAEL,Democracia Cristã,4
2018,ARARENDÁ,MDB,HENRIQUE MEIRELLES,Movimento Democrático Brasileiro,54
2018,ARARENDÁ,PSDB,GERALDO ALCKMIN,Partido da Social Democracia Brasileira,63
2018,ARARENDÁ,PDT,CIRO GOMES,Partido Democrático Trabalhista,1539
2018,ARARENDÁ,PT,FERNANDO HADDAD,Partido dos Trabalhadores,3527
2018,ARARENDÁ,NOVO,JOÃO AMOÊDO,Partido Novo,3
2018,ARARENDÁ,PSL,JAIR BOLSONARO,Partido Social Liberal,734
2018,ARARENDÁ,PSOL,GUILHERME BOULOS,Partido Socialismo e Liberdade,5
2018,ARARENDÁ,PATRI,CABO DACIOLO,Patriota,30
2018,ARARENDÁ,PODE,ALVARO DIAS,Podemos,4
2018,ARARENDÁ,REDE,MARINA SILVA,Rede Sustentabilidade,13
2018,ARARIPE,#NULO#,Branco,#NULO#,202
2018,ARARIPE,#NULO#,Nulo,#NULO#,612
2018,ARARIPE,DC,EYMAEL,Democracia Cristã,1
2018,ARARIPE,MDB,HENRIQUE MEIRELLES,Movimento Democrático Brasileiro,60
2018,ARARIPE,PSDB,GERALDO ALCKMIN,Partido da Social Democracia Brasileira,69
2018,ARARIPE,PDT,CIRO GOMES,Partido Democrático Trabalhista,5341
2018,ARARIPE,PT,FERNANDO HADDAD,Partido dos Trabalhadores,5426
2018,ARARIPE,NOVO,JOÃO AMOÊDO,Partido Novo,9
2018,ARARIPE,PPL,JOÃO GOULART FILHO,Partido Pátria Livre,1
2018,ARARIPE,PSL,JAIR BOLSONARO,Partido Social Liberal,621
2018,ARARIPE,PSOL,GUILHERME BOULOS,Partido Socialismo e Liberdade,25
2018,ARARIPE,PSTU,VERA,Partido Socialista dos Trabalhadores Unificado,2
2018,ARARIPE,PATRI,CABO DACIOLO,Patriota,29
2018,ARARIPE,PODE,ALVARO DIAS,Podemos,6
2018,ARARIPE,REDE,MARINA SILVA,Rede Sustentabilidade,12
2018,ARATUBA,#NULO#,Branco,#NULO#,203
2018,ARATUBA,#NULO#,Nulo,#NULO#,351
2018,ARATUBA,DC,EYMAEL,Democracia Cristã,2
2018,ARATUBA,MDB,HENRIQUE MEIRELLES,Movimento Democrático Brasileiro,40
2018,ARATUBA,PSDB,GERALDO ALCKMIN,Partido da Social Democracia Brasileira,47
2018,ARATUBA,PDT,CIRO GOMES,Partido Democrático Trabalhista,4002
2018,ARATUBA,PT,FERNANDO HADDAD,Partido dos Trabalhadores,2955
2018,ARATUBA,NOVO,JOÃO AMOÊDO,Partido Novo,11
2018,ARATUBA,PSL,JAIR BOLSONARO,Partido Social Liberal,1052
2018,ARATUBA,PSOL,GUILHERME BOULOS,Partido Socialismo e Liberdade,10
2018,ARATUBA,PSTU,VERA,Partido Socialista dos Trabalhadores Unificado,2
2018,ARATUBA,PATRI,CABO DACIOLO,Patriota,82
2018,ARATUBA,PODE,ALVARO DIAS,Podemos,15
2018,ARATUBA,REDE,MARINA SILVA,Rede Sustentabilidade,10
2018,ARNEIROZ,#NULO#,Branco,#NULO#,76
2018,ARNEIROZ,#NULO#,Nulo,#NULO#,235
2018,ARNEIROZ,MDB,HENRIQUE MEIRELLES,Movimento Democrático Brasileiro,34
2018,ARNEIROZ,PSDB,GERALDO ALCKMIN,Partido da Social Democracia Brasileira,22
2018,ARNEIROZ,PDT,CIRO GOMES,Partido Democrático Trabalhista,2109
2018,ARNEIROZ,PT,FERNANDO HADDAD,Partido dos Trabalhadores,2004
2018,ARNEIROZ,NOVO,JOÃO AMOÊDO,Partido Novo,6
2018,ARNEIROZ,PPL,JOÃO GOULART FILHO,Partido Pátria Livre,2
2018,ARNEIROZ,PSL,JAIR BOLSONARO,Partido Social Liberal,511
2018,ARNEIROZ,PSOL,GUILHERME BOULOS,Partido Socialismo e Liberdade,7
2018,ARNEIROZ,PSTU,VERA,Partido Socialista dos Trabalhadores Unificado,1
2018,ARNEIROZ,PATRI,CABO DACIOLO,Patriota,15
2018,ARNEIROZ,PODE,ALVARO DIAS,Podemos,5
2018,ARNEIROZ,REDE,MARINA SILVA,Rede Sustentabilidade,8
2018,ASSARÉ,#NULO#,Branco,#NULO#,276
2018,ASSARÉ,#NULO#,Nulo,#NULO#,618
2018,ASSARÉ,DC,EYMAEL,Democracia Cristã,2
2018,ASSARÉ,MDB,HENRIQUE MEIRELLES,Movimento Democrático Brasileiro,71
2018,ASSARÉ,PSDB,GERALDO ALCKMIN,Partido da Social Democracia Brasileira,99
2018,ASSARÉ,PDT,CIRO GOMES,Partido Democrático Trabalhista,6792
2018,ASSARÉ,PT,FERNANDO HADDAD,Partido dos Trabalhadores,4709
2018,ASSARÉ,NOVO,JOÃO AMOÊDO,Partido Novo,9
2018,ASSARÉ,PPL,JOÃO GOULART FILHO,Partido Pátria Livre,1
2018,ASSARÉ,PSL,JAIR BOLSONARO,Partido Social Liberal,953
2018,ASSARÉ,PSOL,GUILHERME BOULOS,Partido Socialismo e Liberdade,19
2018,ASSARÉ,PSTU,VERA,Partido Socialista dos Trabalhadores Unificado,5
2018,ASSARÉ,PATRI,CABO DACIOLO,Patriota,40
2018,ASSARÉ,PODE,ALVARO DIAS,Podemos,7
2018,ASSARÉ,REDE,MARINA SILVA,Rede Sustentabilidade,20
2018,AURORA,#NULO#,Branco,#NULO#,347
2018,AURORA,#NULO#,Nulo,#NULO#,695
2018,AURORA,DC,EYMAEL,Democracia Cristã,4
2018,AURORA,MDB,HENRIQUE MEIRELLES,Movimento Democrático Brasileiro,91
2018,AURORA,PSDB,GERALDO ALCKMIN,Partido da Social Democracia Brasileira,126
2018,AURORA,PDT,CIRO GOMES,Partido Democrático Trabalhista,6068
2018,AURORA,PT,FERNANDO HADDAD,Partido dos Trabalhadores,6698
2018,AURORA,NOVO,JOÃO AMOÊDO,Partido Novo,21
2018,AURORA,PPL,JOÃO GOULART FILHO,Partido Pátria Livre,49
2018,AURORA,PSL,JAIR BOLSONARO,Partido Social Liberal,1388
2018,AURORA,PSOL,GUILHERME BOULOS,Partido Socialismo e Liberdade,27
2018,AURORA,PSTU,VERA,Partido Socialista dos Trabalhadores Unificado,6
2018,AURORA,PATRI,CABO DACIOLO,Patriota,120
2018,AURORA,PODE,ALVARO DIAS,Podemos,23
2018,AURORA,REDE,MARINA SILVA,Rede Sustentabilidade,33
2018,BAIXIO,#NULO#,Branco,#NULO#,48
2018,BAIXIO,#NULO#,Nulo,#NULO#,100
2018,BAIXIO,DC,EYMAEL,Democracia Cristã,2
2018,BAIXIO,MDB,HENRIQUE MEIRELLES,Movimento Democrático Brasileiro,21
2018,BAIXIO,PSDB,GERALDO ALCKMIN,Partido da Social Democracia Brasileira,20
2018,BAIXIO,PDT,CIRO GOMES,Partido Democrático Trabalhista,1449
2018,BAIXIO,PT,FERNANDO HADDAD,Partido dos Trabalhadores,2258
2018,BAIXIO,NOVO,JOÃO AMOÊDO,Partido Novo,3
2018,BAIXIO,PSL,JAIR BOLSONARO,Partido Social Liberal,307
2018,BAIXIO,PSOL,GUILHERME BOULOS,Partido Socialismo e Liberdade,2
2018,BAIXIO,PATRI,CABO DACIOLO,Patriota,14
2018,BAIXIO,PODE,ALVARO DIAS,Podemos,1
2018,BAIXIO,REDE,MARINA SILVA,Rede Sustentabilidade,4
2018,BANABUIÚ,#NULO#,Branco,#NULO#,145
2018,BANABUIÚ,#NULO#,Nulo,#NULO#,380
2018,BANABUIÚ,DC,EYMAEL,Democracia Cristã,1
2018,BANABUIÚ,MDB,HENRIQUE MEIRELLES,Movimento Democrático Brasileiro,38
2018,BANABUIÚ,PSDB,GERALDO ALCKMIN,Partido da Social Democracia Brasileira,66
2018,BANABUIÚ,PDT,CIRO GOMES,Partido Democrático Trabalhista,4089
2018,BANABUIÚ,PT,FERNANDO HADDAD,Partido dos Trabalhadores,5558
2018,BANABUIÚ,NOVO,JOÃO AMOÊDO,Partido Novo,13
2018,BANABUIÚ,PPL,JOÃO GOULART FILHO,Partido Pátria Livre,1
2018,BANABUIÚ,PSL,JAIR BOLSONARO,Partido Social Liberal,1178
2018,BANABUIÚ,PSOL,GUILHERME BOULOS,Partido Socialismo e Liberdade,13
2018,BANABUIÚ,PSTU,VERA,Partido Socialista dos Trabalhadores Unificado,6
2018,BANABUIÚ,PATRI,CABO DACIOLO,Patriota,47
2018,BANABUIÚ,PODE,ALVARO DIAS,Podemos,15
2018,BANABUIÚ,REDE,MARINA SILVA,Rede Sustentabilidade,17
2018,BARBALHA,#NULO#,Branco,#NULO#,774
2018,BARBALHA,#NULO#,Nulo,#NULO#,1587
2018,BARBALHA,DC,EYMAEL,Democracia Cristã,8
2018,BARBALHA,MDB,HENRIQUE MEIRELLES,Movimento Democrático Brasileiro,249
2018,BARBALHA,PSDB,GERALDO ALCKMIN,Partido da Social Democracia Brasileira,1373
2018,BARBALHA,PDT,CIRO GOMES,Partido Democrático Trabalhista,11732
2018,BARBALHA,PT,FERNANDO HADDAD,Partido dos Trabalhadores,13438
2018,BARBALHA,NOVO,JOÃO AMOÊDO,Partido Novo,98
2018,BARBALHA,PPL,JOÃO GOULART FILHO,Partido Pátria Livre,3
2018,BARBALHA,PSL,JAIR BOLSONARO,Partido Social Liberal,6412
2018,BARBALHA,PSOL,GUILHERME BOULOS,Partido Socialismo e Liberdade,115
2018,BARBALHA,PSTU,VERA,Partido Socialista dos Trabalhadores Unificado,12
2018,BARBALHA,PATRI,CABO DACIOLO,Patriota,160
2018,BARBALHA,PODE,ALVARO DIAS,Podemos,43
2018,BARBALHA,REDE,MARINA SILVA,Rede Sustentabilidade,111
2018,BARREIRA,#NULO#,Branco,#NULO#,374
2018,BARREIRA,#NULO#,Nulo,#NULO#,823
2018,BARREIRA,DC,EYMAEL,Democracia Cristã,2
2018,BARREIRA,MDB,HENRIQUE MEIRELLES,Movimento Democrático Brasileiro,102
2018,BARREIRA,PSDB,GERALDO ALCKMIN,Partido da Social Democracia Brasileira,231
2018,BARREIRA,PDT,CIRO GOMES,Partido Democrático Trabalhista,3634
2018,BARREIRA,PT,FERNANDO HADDAD,Partido dos Trabalhadores,5828
2018,BARREIRA,NOVO,JOÃO AMOÊDO,Partido Novo,19
2018,BARREIRA,PPL,JOÃO GOULART FILHO,Partido Pátria Livre,2
2018,BARREIRA,PSL,JAIR BOLSONARO,Partido Social Liberal,3082
2018,BARREIRA,PSOL,GUILHERME BOULOS,Partido Socialismo e Liberdade,27
2018,BARREIRA,PSTU,VERA,Partido Socialista dos Trabalhadores Unificado,4
2018,BARREIRA,PATRI,CABO DACIOLO,Patriota,169
2018,BARREIRA,PODE,ALVARO DIAS,Podemos,21
2018,BARREIRA,REDE,MARINA SILVA,Rede Sustentabilidade,45
2018,BARRO,#NULO#,Branco,#NULO#,231
2018,BARRO,#NULO#,Nulo,#NULO#,516
2018,BARRO,DC,EYMAEL,Democracia Cristã,1
2018,BARRO,MDB,HENRIQUE MEIRELLES,Movimento Democrático Brasileiro,66
2018,BARRO,PSDB,GERALDO ALCKMIN,Partido da Social Democracia Brasileira,128
2018,BARRO,PDT,CIRO GOMES,Partido Democrático Trabalhista,3909
2018,BARRO,PT,FERNANDO HADDAD,Partido dos Trabalhadores,6307
2018,BARRO,NOVO,JOÃO AMOÊDO,Partido Novo,44
2018,BARRO,PPL,JOÃO GOULART FILHO,Partido Pátria Livre,1
2018,BARRO,PSL,JAIR BOLSONARO,Partido Social Liberal,1069
2018,BARRO,PSOL,GUILHERME BOULOS,Partido Socialismo e Liberdade,33
2018,BARRO,PSTU,VERA,Partido Socialista dos Trabalhadores Unificado,4
2018,BARRO,PATRI,CABO DACIOLO,Patriota,30
2018,BARRO,PODE,ALVARO DIAS,Podemos,7
2018,BARRO,REDE,MARINA SILVA,Rede Sustentabilidade,27
2018,BARROQUINHA,#NULO#,Branco,#NULO#,269
2018,BARROQUINHA,#NULO#,Nulo,#NULO#,349
2018,BARROQUINHA,DC,EYMAEL,Democracia Cristã,1
2018,BARROQUINHA,MDB,HENRIQUE MEIRELLES,Movimento Democrático Brasileiro,110
